statePostal, year,unemployment,key
"Jefferson County, AL",Aug-24 p,0.033,01-073
"Lamar County, AL",Aug-24 p,0.033,01-075
"Lauderdale County, AL",Aug-24 p,0.034,01-077
"Lawrence County, AL",Aug-24 p,0.033,01-079
"Lee County, AL",Aug-24 p,0.033,01-081
"Limestone County, AL",Aug-24 p,0.028999999999999998,01-083
"Lowndes County, AL",Aug-24 p,0.054000000000000006,01-085
"Macon County, AL",Aug-24 p,0.046,01-087
"Madison County, AL",Aug-24 p,0.027999999999999997,01-089
"Marengo County, AL",Aug-24 p,0.042,01-091
"Marion County, AL",Aug-24 p,0.038,01-093
"Marshall County, AL",Aug-24 p,0.028999999999999998,01-095
"Mobile County, AL",Aug-24 p,0.039,01-097
"Monroe County, AL",Aug-24 p,0.051,01-099
"Montgomery County, AL",Aug-24 p,0.034,01-101
"Morgan County, AL",Aug-24 p,0.027999999999999997,01-103
"Perry County, AL",Aug-24 p,0.069,01-105
"Pickens County, AL",Aug-24 p,0.040999999999999995,01-107
"Pike County, AL",Aug-24 p,0.036000000000000004,01-109
"Randolph County, AL",Aug-24 p,0.035,01-111
"Russell County, AL",Aug-24 p,0.037000000000000005,01-113
"St. Clair County, AL",Aug-24 p,0.028999999999999998,01-115
"Shelby County, AL",Aug-24 p,0.026000000000000002,01-117
"Sumter County, AL",Aug-24 p,0.052000000000000005,01-119
"Talladega County, AL",Aug-24 p,0.034,01-121
"Tallapoosa County, AL",Aug-24 p,0.037000000000000005,01-123
"Tuscaloosa County, AL",Aug-24 p,0.033,01-125
"Walker County, AL",Aug-24 p,0.036000000000000004,01-127
"Washington County, AL",Aug-24 p,0.03,01-129
"Wilcox County, AL",Aug-24 p,0.08900000000000001,01-131
"Winston County, AL",Aug-24 p,0.038,01-133
"Aleutians East Borough, AK",Aug-24 p,0.019,02-013
"Aleutians West Census Area, AK",Aug-24 p,0.027000000000000003,02-016
"Anchorage Borough/municipality, AK",Aug-24 p,0.034,02-020
"Bethel Census Area, AK",Aug-24 p,0.11699999999999999,02-050
"Bristol Bay Borough, AK",Aug-24 p,0.018000000000000002,02-060
"Chugach Census Area, AK",Aug-24 p,0.032,02-063
"Copper River Census Area, AK",Aug-24 p,0.046,02-066
"Denali Borough, AK",Aug-24 p,0.023,02-068
"Dillingham Census Area, AK",Aug-24 p,0.07400000000000001,02-070
"Fairbanks North Star Borough, AK",Aug-24 p,0.035,02-090
"Haines Borough, AK",Aug-24 p,0.038,02-100
"Hoonah-Angoon Census Area, AK",Aug-24 p,0.027999999999999997,02-105
"Juneau Borough/city, AK",Aug-24 p,0.027000000000000003,02-110
"Kenai Peninsula Borough, AK",Aug-24 p,0.04,02-122
"Ketchikan Gateway Borough, AK",Aug-24 p,0.033,02-130
"Kodiak Island Borough, AK",Aug-24 p,0.036000000000000004,02-150
"Kusilvak Census Area, AK",Aug-24 p,0.192,02-158
"Lake and Peninsula Borough, AK",Aug-24 p,0.062,02-164
"Matanuska-Susitna Borough, AK",Aug-24 p,0.042,02-170
"Nome Census Area, AK",Aug-24 p,0.085,02-180
"North Slope Borough, AK",Aug-24 p,0.05,02-185
"Northwest Arctic Borough, AK",Aug-24 p,0.094,02-188
"Petersburg Borough, AK",Aug-24 p,0.04,02-195
"Prince of Wales-Hyder Census Area, AK",Aug-24 p,0.07,02-198
"Sitka Borough/city, AK",Aug-24 p,0.026000000000000002,02-220
"Skagway Municipality, AK",Aug-24 p,0.02,02-230
"Southeast Fairbanks Census Area, AK",Aug-24 p,0.047,02-240
"Wrangell Borough/city, AK",Aug-24 p,0.042,02-275
"Yakutat Borough/city, AK",Aug-24 p,0.052000000000000005,02-282
"Yukon-Koyukuk Census Area, AK",Aug-24 p,0.07200000000000001,02-290
"Apache County, AZ",Aug-24 p,0.079,04-001
"Cochise County, AZ",Aug-24 p,0.043,04-003
"Coconino County, AZ",Aug-24 p,0.043,04-005
"Gila County, AZ",Aug-24 p,0.039,04-007
"Graham County, AZ",Aug-24 p,0.036000000000000004,04-009
"Greenlee County, AZ",Aug-24 p,0.027999999999999997,04-011
"La Paz County, AZ",Aug-24 p,0.043,04-012
"Maricopa County, AZ",Aug-24 p,0.034,04-013
"Mohave County, AZ",Aug-24 p,0.044000000000000004,04-015
"Navajo County, AZ",Aug-24 p,0.054000000000000006,04-017
"Pima County, AZ",Aug-24 p,0.039,04-019
"Pinal County, AZ",Aug-24 p,0.042,04-021
"Santa Cruz County, AZ",Aug-24 p,0.081,04-023
"Yavapai County, AZ",Aug-24 p,0.033,04-025
"Yuma County, AZ",Aug-24 p,0.163,04-027
"Arkansas County, AR",Aug-24 p,0.028999999999999998,05-001
"Ashley County, AR",Aug-24 p,0.055999999999999994,05-003
"Baxter County, AR",Aug-24 p,0.037000000000000005,05-005
"Benton County, AR",Aug-24 p,0.026000000000000002,05-007
"Boone County, AR",Aug-24 p,0.034,05-009
"Bradley County, AR",Aug-24 p,0.045,05-011
"Calhoun County, AR",Aug-24 p,0.032,05-013
"Carroll County, AR",Aug-24 p,0.033,05-015
"Chicot County, AR",Aug-24 p,0.066,05-017
"Clark County, AR",Aug-24 p,0.05,05-019
"Clay County, AR",Aug-24 p,0.039,05-021
"Cleburne County, AR",Aug-24 p,0.040999999999999995,05-023
"Cleveland County, AR",Aug-24 p,0.04,05-025
"Columbia County, AR",Aug-24 p,0.045,05-027
"Conway County, AR",Aug-24 p,0.037000000000000005,05-029
"Craighead County, AR",Aug-24 p,0.03,05-031
"Crawford County, AR",Aug-24 p,0.035,05-033
"Crittenden County, AR",Aug-24 p,0.046,05-035
"Cross County, AR",Aug-24 p,0.036000000000000004,05-037
"Dallas County, AR",Aug-24 p,0.04,05-039
"Desha County, AR",Aug-24 p,0.06,05-041
"Drew County, AR",Aug-24 p,0.044000000000000004,05-043
"Faulkner County, AR",Aug-24 p,0.028999999999999998,05-045
"Franklin County, AR",Aug-24 p,0.035,05-047
"Fulton County, AR",Aug-24 p,0.04,05-049
"Garland County, AR",Aug-24 p,0.037000000000000005,05-051
"Grant County, AR",Aug-24 p,0.028999999999999998,05-053
"Greene County, AR",Aug-24 p,0.037000000000000005,05-055
"Hempstead County, AR",Aug-24 p,0.037000000000000005,05-057
"Hot Spring County, AR",Aug-24 p,0.037000000000000005,05-059
"Howard County, AR",Aug-24 p,0.036000000000000004,05-061
"Independence County, AR",Aug-24 p,0.037000000000000005,05-063
"Izard County, AR",Aug-24 p,0.051,05-065
"Jackson County, AR",Aug-24 p,0.045,05-067
"Jefferson County, AR",Aug-24 p,0.05,05-069
"Johnson County, AR",Aug-24 p,0.055999999999999994,05-071
"Lafayette County, AR",Aug-24 p,0.055,05-073
"Lawrence County, AR",Aug-24 p,0.036000000000000004,05-075
"Lee County, AR",Aug-24 p,0.05,05-077
"Lincoln County, AR",Aug-24 p,0.051,05-079
"Little River County, AR",Aug-24 p,0.036000000000000004,05-081
"Logan County, AR",Aug-24 p,0.04,05-083
"Lonoke County, AR",Aug-24 p,0.028999999999999998,05-085
"Madison County, AR",Aug-24 p,0.028999999999999998,05-087
"Marion County, AR",Aug-24 p,0.042,05-089
"Miller County, AR",Aug-24 p,0.039,05-091
"Mississippi County, AR",Aug-24 p,0.049,05-093
"Monroe County, AR",Aug-24 p,0.051,05-095
"Montgomery County, AR",Aug-24 p,0.046,05-097
"Nevada County, AR",Aug-24 p,0.038,05-099
"Newton County, AR",Aug-24 p,0.035,05-101
"Ouachita County, AR",Aug-24 p,0.042,05-103
"Perry County, AR",Aug-24 p,0.036000000000000004,05-105
"Phillips County, AR",Aug-24 p,0.057,05-107
"Pike County, AR",Aug-24 p,0.039,05-109
"Poinsett County, AR",Aug-24 p,0.035,05-111
"Polk County, AR",Aug-24 p,0.040999999999999995,05-113
"Pope County, AR",Aug-24 p,0.042,05-115
"Prairie County, AR",Aug-24 p,0.028999999999999998,05-117
"Pulaski County, AR",Aug-24 p,0.035,05-119
"Randolph County, AR",Aug-24 p,0.037000000000000005,05-121
"St. Francis County, AR",Aug-24 p,0.059000000000000004,05-123
"Saline County, AR",Aug-24 p,0.027999999999999997,05-125
"Scott County, AR",Aug-24 p,0.031,05-127
"Searcy County, AR",Aug-24 p,0.042,05-129
"Sebastian County, AR",Aug-24 p,0.034,05-131
"Sevier County, AR",Aug-24 p,0.039,05-133
"Sharp County, AR",Aug-24 p,0.044000000000000004,05-135
"Stone County, AR",Aug-24 p,0.042,05-137
"Union County, AR",Aug-24 p,0.055999999999999994,05-139
"Van Buren County, AR",Aug-24 p,0.040999999999999995,05-141
"Washington County, AR",Aug-24 p,0.025,05-143
"White County, AR",Aug-24 p,0.036000000000000004,05-145
"Woodruff County, AR",Aug-24 p,0.035,05-147
"Yell County, AR",Aug-24 p,0.040999999999999995,05-149
"Alameda County, CA",Aug-24 p,0.052000000000000005,06-001
"Alpine County, CA",Aug-24 p,0.078,06-003
"Amador County, CA",Aug-24 p,0.055999999999999994,06-005
"Butte County, CA",Aug-24 p,0.063,06-007
"Calaveras County, CA",Aug-24 p,0.049,06-009
"Colusa County, CA",Aug-24 p,0.092,06-011
"Contra Costa County, CA",Aug-24 p,0.053,06-013
"Del Norte County, CA",Aug-24 p,0.061,06-015
"El Dorado County, CA",Aug-24 p,0.048,06-017
"Fresno County, CA",Aug-24 p,0.076,06-019
"Glenn County, CA",Aug-24 p,0.068,06-021
"Humboldt County, CA",Aug-24 p,0.057,06-023
"Imperial County, CA",Aug-24 p,0.20199999999999999,06-025
"Inyo County, CA",Aug-24 p,0.04,06-027
"Kern County, CA",Aug-24 p,0.086,06-029
"Kings County, CA",Aug-24 p,0.08199999999999999,06-031
"Lake County, CA",Aug-24 p,0.061,06-033
"Lassen County, CA",Aug-24 p,0.059000000000000004,06-035
"Los Angeles County, CA",Aug-24 p,0.067,06-037
"Madera County, CA",Aug-24 p,0.07400000000000001,06-039
"Marin County, CA",Aug-24 p,0.042,06-041
"Mariposa County, CA",Aug-24 p,0.048,06-043
"Mendocino County, CA",Aug-24 p,0.052000000000000005,06-045
"Merced County, CA",Aug-24 p,0.091,06-047
"Modoc County, CA",Aug-24 p,0.055999999999999994,06-049
"Mono County, CA",Aug-24 p,0.042,06-051
"Monterey County, CA",Aug-24 p,0.055999999999999994,06-053
"Napa County, CA",Aug-24 p,0.043,06-055
"Nevada County, CA",Aug-24 p,0.045,06-057
"Orange County, CA",Aug-24 p,0.045,06-059
"Placer County, CA",Aug-24 p,0.046,06-061
"Plumas County, CA",Aug-24 p,0.057999999999999996,06-063
"Riverside County, CA",Aug-24 p,0.062,06-065
"Sacramento County, CA",Aug-24 p,0.053,06-067
"San Benito County, CA",Aug-24 p,0.064,06-069
"San Bernardino County, CA",Aug-24 p,0.057,06-071
"San Diego County, CA",Aug-24 p,0.05,06-073
"San Francisco County/city, CA",Aug-24 p,0.040999999999999995,06-075
"San Joaquin County, CA",Aug-24 p,0.068,06-077
"San Luis Obispo County, CA",Aug-24 p,0.044000000000000004,06-079
"San Mateo County, CA",Aug-24 p,0.04,06-081
"Santa Barbara County, CA",Aug-24 p,0.046,06-083
"Santa Clara County, CA",Aug-24 p,0.045,06-085
"Santa Cruz County, CA",Aug-24 p,0.057999999999999996,06-087
"Shasta County, CA",Aug-24 p,0.057,06-089
"Sierra County, CA",Aug-24 p,0.046,06-091
"Siskiyou County, CA",Aug-24 p,0.066,06-093
"Solano County, CA",Aug-24 p,0.057,06-095
"Sonoma County, CA",Aug-24 p,0.045,06-097
"Stanislaus County, CA",Aug-24 p,0.07,06-099
"Sutter County, CA",Aug-24 p,0.07200000000000001,06-101
"Tehama County, CA",Aug-24 p,0.066,06-103
"Trinity County, CA",Aug-24 p,0.053,06-105
"Tulare County, CA",Aug-24 p,0.10300000000000001,06-107
"Tuolumne County, CA",Aug-24 p,0.055999999999999994,06-109
"Ventura County, CA",Aug-24 p,0.052000000000000005,06-111
"Yolo County, CA",Aug-24 p,0.054000000000000006,06-113
"Yuba County, CA",Aug-24 p,0.073,06-115
"Adams County, CO",Aug-24 p,0.047,08-001
"Alamosa County, CO",Aug-24 p,0.047,08-003
"Arapahoe County, CO",Aug-24 p,0.042,08-005
"Archuleta County, CO",Aug-24 p,0.040999999999999995,08-007
"Baca County, CO",Aug-24 p,0.027999999999999997,08-009
"Bent County, CO",Aug-24 p,0.038,08-011
"Boulder County, CO",Aug-24 p,0.040999999999999995,08-013
"Broomfield County/city, CO",Aug-24 p,0.042,08-014
"Chaffee County, CO",Aug-24 p,0.038,08-015
"Cheyenne County, CO",Aug-24 p,0.027000000000000003,08-017
"Clear Creek County, CO",Aug-24 p,0.04,08-019
"Conejos County, CO",Aug-24 p,0.040999999999999995,08-021
"Costilla County, CO",Aug-24 p,0.052000000000000005,08-023
"Crowley County, CO",Aug-24 p,0.055999999999999994,08-025
"Custer County, CO",Aug-24 p,0.044000000000000004,08-027
"Delta County, CO",Aug-24 p,0.043,08-029
"Denver County/city, CO",Aug-24 p,0.046,08-031
"Dolores County, CO",Aug-24 p,0.032,08-033
"Douglas County, CO",Aug-24 p,0.042,08-035
"Eagle County, CO",Aug-24 p,0.032,08-037
"Elbert County, CO",Aug-24 p,0.038,08-039
"El Paso County, CO",Aug-24 p,0.045,08-041
"Fremont County, CO",Aug-24 p,0.06,08-043
"Garfield County, CO",Aug-24 p,0.036000000000000004,08-045
"Gilpin County, CO",Aug-24 p,0.035,08-047
"Grand County, CO",Aug-24 p,0.033,08-049
"Gunnison County, CO",Aug-24 p,0.032,08-051
"Hinsdale County, CO",Aug-24 p,0.028999999999999998,08-053
"Huerfano County, CO",Aug-24 p,0.063,08-055
"Jackson County, CO",Aug-24 p,0.027999999999999997,08-057
"Jefferson County, CO",Aug-24 p,0.040999999999999995,08-059
"Kiowa County, CO",Aug-24 p,0.032,08-061
"Kit Carson County, CO",Aug-24 p,0.027000000000000003,08-063
"Lake County, CO",Aug-24 p,0.034,08-065
"La Plata County, CO",Aug-24 p,0.038,08-067
"Larimer County, CO",Aug-24 p,0.039,08-069
"Las Animas County, CO",Aug-24 p,0.066,08-071
"Lincoln County, CO",Aug-24 p,0.035,08-073
"Logan County, CO",Aug-24 p,0.040999999999999995,08-075
"Mesa County, CO",Aug-24 p,0.044000000000000004,08-077
"Mineral County, CO",Aug-24 p,0.040999999999999995,08-079
"Moffat County, CO",Aug-24 p,0.037000000000000005,08-081
"Montezuma County, CO",Aug-24 p,0.047,08-083
"Montrose County, CO",Aug-24 p,0.04,08-085
"Morgan County, CO",Aug-24 p,0.038,08-087
"Otero County, CO",Aug-24 p,0.055,08-089
"Ouray County, CO",Aug-24 p,0.044000000000000004,08-091
"Park County, CO",Aug-24 p,0.035,08-093
"Phillips County, CO",Aug-24 p,0.03,08-095
"Pitkin County, CO",Aug-24 p,0.036000000000000004,08-097
"Prowers County, CO",Aug-24 p,0.035,08-099
"Pueblo County, CO",Aug-24 p,0.06,08-101
"Rio Blanco County, CO",Aug-24 p,0.043,08-103
"Rio Grande County, CO",Aug-24 p,0.051,08-105
"Routt County, CO",Aug-24 p,0.032,08-107
"Saguache County, CO",Aug-24 p,0.040999999999999995,08-109
"San Juan County, CO",Aug-24 p,0.023,08-111
"San Miguel County, CO",Aug-24 p,0.027999999999999997,08-113
"Sedgwick County, CO",Aug-24 p,0.033,08-115
"Summit County, CO",Aug-24 p,0.03,08-117
"Teller County, CO",Aug-24 p,0.043,08-119
"Washington County, CO",Aug-24 p,0.032,08-121
"Weld County, CO",Aug-24 p,0.045,08-123
"Yuma County, CO",Aug-24 p,0.027999999999999997,08-125
"Fairfield County, CT",Aug-24 p,0.035,09-001
"Hartford County, CT",Aug-24 p,0.036000000000000004,09-003
"Litchfield County, CT",Aug-24 p,0.028999999999999998,09-005
"Middlesex County, CT",Aug-24 p,0.028999999999999998,09-007
"New Haven County, CT",Aug-24 p,0.036000000000000004,09-009
"New London County, CT",Aug-24 p,0.031,09-011
"Tolland County, CT",Aug-24 p,0.027999999999999997,09-013
"Windham County, CT",Aug-24 p,0.034,09-015
"Kent County, DE",Aug-24 p,0.055999999999999994,10-001
"New Castle County, DE",Aug-24 p,0.048,10-003
"Sussex County, DE",Aug-24 p,0.039,10-005
District of Columbia,Aug-24 p,0.069,11-001
"Alachua County, FL",Aug-24 p,0.039,12-001
"Baker County, FL",Aug-24 p,0.036000000000000004,12-003
"Bay County, FL",Aug-24 p,0.033,12-005
"Bradford County, FL",Aug-24 p,0.038,12-007
"Brevard County, FL",Aug-24 p,0.037000000000000005,12-009
"Broward County, FL",Aug-24 p,0.035,12-011
"Calhoun County, FL",Aug-24 p,0.040999999999999995,12-013
"Charlotte County, FL",Aug-24 p,0.042,12-015
"Citrus County, FL",Aug-24 p,0.055,12-017
"Clay County, FL",Aug-24 p,0.035,12-019
"Collier County, FL",Aug-24 p,0.037000000000000005,12-021
"Columbia County, FL",Aug-24 p,0.04,12-023
"DeSoto County, FL",Aug-24 p,0.045,12-027
"Dixie County, FL",Aug-24 p,0.042,12-029
"Duval County, FL",Aug-24 p,0.038,12-031
"Escambia County, FL",Aug-24 p,0.037000000000000005,12-033
"Flagler County, FL",Aug-24 p,0.044000000000000004,12-035
"Franklin County, FL",Aug-24 p,0.036000000000000004,12-037
"Gadsden County, FL",Aug-24 p,0.044000000000000004,12-039
"Gilchrist County, FL",Aug-24 p,0.043,12-041
"Glades County, FL",Aug-24 p,0.049,12-043
"Gulf County, FL",Aug-24 p,0.033,12-045
"Hamilton County, FL",Aug-24 p,0.049,12-047
"Hardee County, FL",Aug-24 p,0.055999999999999994,12-049
"Hendry County, FL",Aug-24 p,0.065,12-051
"Hernando County, FL",Aug-24 p,0.049,12-053
"Highlands County, FL",Aug-24 p,0.053,12-055
"Hillsborough County, FL",Aug-24 p,0.037000000000000005,12-057
"Holmes County, FL",Aug-24 p,0.045,12-059
"Indian River County, FL",Aug-24 p,0.044000000000000004,12-061
"Jackson County, FL",Aug-24 p,0.044000000000000004,12-063
"Jefferson County, FL",Aug-24 p,0.040999999999999995,12-065
"Lafayette County, FL",Aug-24 p,0.039,12-067
"Lake County, FL",Aug-24 p,0.039,12-069
"Lee County, FL",Aug-24 p,0.038,12-071
"Leon County, FL",Aug-24 p,0.039,12-073
"Levy County, FL",Aug-24 p,0.042,12-075
"Liberty County, FL",Aug-24 p,0.044000000000000004,12-077
"Madison County, FL",Aug-24 p,0.038,12-079
"Manatee County, FL",Aug-24 p,0.038,12-081
"Marion County, FL",Aug-24 p,0.046,12-083
"Martin County, FL",Aug-24 p,0.036000000000000004,12-085
"Miami-Dade County, FL",Aug-24 p,0.031,12-086
"Monroe County, FL",Aug-24 p,0.023,12-087
"Nassau County, FL",Aug-24 p,0.034,12-089
"Okaloosa County, FL",Aug-24 p,0.032,12-091
"Okeechobee County, FL",Aug-24 p,0.04,12-093
"Orange County, FL",Aug-24 p,0.035,12-095
"Osceola County, FL",Aug-24 p,0.040999999999999995,12-097
"Palm Beach County, FL",Aug-24 p,0.038,12-099
"Pasco County, FL",Aug-24 p,0.042,12-101
"Pinellas County, FL",Aug-24 p,0.034,12-103
"Polk County, FL",Aug-24 p,0.046,12-105
"Putnam County, FL",Aug-24 p,0.045,12-107
"St. Johns County, FL",Aug-24 p,0.033,12-109
"St. Lucie County, FL",Aug-24 p,0.043,12-111
"Santa Rosa County, FL",Aug-24 p,0.036000000000000004,12-113
"Sarasota County, FL",Aug-24 p,0.037000000000000005,12-115
"Seminole County, FL",Aug-24 p,0.034,12-117
"Sumter County, FL",Aug-24 p,0.052000000000000005,12-119
"Suwannee County, FL",Aug-24 p,0.040999999999999995,12-121
"Taylor County, FL",Aug-24 p,0.042,12-123
"Union County, FL",Aug-24 p,0.044000000000000004,12-125
"Volusia County, FL",Aug-24 p,0.04,12-127
"Wakulla County, FL",Aug-24 p,0.032,12-129
"Walton County, FL",Aug-24 p,0.034,12-131
"Washington County, FL",Aug-24 p,0.042,12-133
"Appling County, GA",Aug-24 p,0.043,13-001
"Atkinson County, GA",Aug-24 p,0.037000000000000005,13-003
"Bacon County, GA",Aug-24 p,0.040999999999999995,13-005
"Baker County, GA",Aug-24 p,0.046,13-007
"Baldwin County, GA",Aug-24 p,0.053,13-009
"Banks County, GA",Aug-24 p,0.03,13-011
"Barrow County, GA",Aug-24 p,0.037000000000000005,13-013
"Bartow County, GA",Aug-24 p,0.04,13-015
"Ben Hill County, GA",Aug-24 p,0.057999999999999996,13-017
"Berrien County, GA",Aug-24 p,0.051,13-019
"Bibb County, GA",Aug-24 p,0.051,13-021
"Bleckley County, GA",Aug-24 p,0.057999999999999996,13-023
"Brantley County, GA",Aug-24 p,0.047,13-025
"Brooks County, GA",Aug-24 p,0.044000000000000004,13-027
"Bryan County, GA",Aug-24 p,0.035,13-029
"Bulloch County, GA",Aug-24 p,0.045,13-031
"Burke County, GA",Aug-24 p,0.066,13-033
"Butts County, GA",Aug-24 p,0.038,13-035
"Calhoun County, GA",Aug-24 p,0.037000000000000005,13-037
"Camden County, GA",Aug-24 p,0.040999999999999995,13-039
"Candler County, GA",Aug-24 p,0.034,13-043
"Carroll County, GA",Aug-24 p,0.043,13-045
"Catoosa County, GA",Aug-24 p,0.037000000000000005,13-047
"Charlton County, GA",Aug-24 p,0.043,13-049
"Chatham County, GA",Aug-24 p,0.039,13-051
"Chattahoochee County, GA",Aug-24 p,0.057999999999999996,13-053
"Chattooga County, GA",Aug-24 p,0.047,13-055
"Cherokee County, GA",Aug-24 p,0.035,13-057
"Clarke County, GA",Aug-24 p,0.046,13-059
"Clay County, GA",Aug-24 p,0.076,13-061
"Clayton County, GA",Aug-24 p,0.05,13-063
"Clinch County, GA",Aug-24 p,0.039,13-065
"Cobb County, GA",Aug-24 p,0.036000000000000004,13-067
"Coffee County, GA",Aug-24 p,0.045,13-069
"Colquitt County, GA",Aug-24 p,0.038,13-071
"Columbia County, GA",Aug-24 p,0.04,13-073
"Cook County, GA",Aug-24 p,0.04,13-075
"Coweta County, GA",Aug-24 p,0.038,13-077
"Crawford County, GA",Aug-24 p,0.045,13-079
"Crisp County, GA",Aug-24 p,0.040999999999999995,13-081
"Dade County, GA",Aug-24 p,0.037000000000000005,13-083
"Dawson County, GA",Aug-24 p,0.037000000000000005,13-085
"Decatur County, GA",Aug-24 p,0.043,13-087
"DeKalb County, GA",Aug-24 p,0.040999999999999995,13-089
"Dodge County, GA",Aug-24 p,0.051,13-091
"Dooly County, GA",Aug-24 p,0.052000000000000005,13-093
"Dougherty County, GA",Aug-24 p,0.055,13-095
"Douglas County, GA",Aug-24 p,0.043,13-097
"Early County, GA",Aug-24 p,0.051,13-099
"Echols County, GA",Aug-24 p,0.04,13-101
"Effingham County, GA",Aug-24 p,0.034,13-103
"Elbert County, GA",Aug-24 p,0.046,13-105
"Emanuel County, GA",Aug-24 p,0.057,13-107
"Evans County, GA",Aug-24 p,0.04,13-109
"Fannin County, GA",Aug-24 p,0.037000000000000005,13-111
"Fayette County, GA",Aug-24 p,0.038,13-113
"Floyd County, GA",Aug-24 p,0.04,13-115
"Forsyth County, GA",Aug-24 p,0.035,13-117
"Franklin County, GA",Aug-24 p,0.044000000000000004,13-119
"Fulton County, GA",Aug-24 p,0.043,13-121
"Gilmer County, GA",Aug-24 p,0.043,13-123
"Glascock County, GA",Aug-24 p,0.046,13-125
"Glynn County, GA",Aug-24 p,0.039,13-127
"Gordon County, GA",Aug-24 p,0.037000000000000005,13-129
"Grady County, GA",Aug-24 p,0.040999999999999995,13-131
"Greene County, GA",Aug-24 p,0.043,13-133
"Gwinnett County, GA",Aug-24 p,0.038,13-135
"Habersham County, GA",Aug-24 p,0.04,13-137
"Hall County, GA",Aug-24 p,0.033,13-139
"Hancock County, GA",Aug-24 p,0.063,13-141
"Haralson County, GA",Aug-24 p,0.042,13-143
"Harris County, GA",Aug-24 p,0.038,13-145
"Hart County, GA",Aug-24 p,0.038,13-147
"Heard County, GA",Aug-24 p,0.04,13-149
"Henry County, GA",Aug-24 p,0.045,13-151
"Houston County, GA",Aug-24 p,0.039,13-153
"Irwin County, GA",Aug-24 p,0.051,13-155
"Jackson County, GA",Aug-24 p,0.027999999999999997,13-157
"Jasper County, GA",Aug-24 p,0.039,13-159
"Jeff Davis County, GA",Aug-24 p,0.054000000000000006,13-161
"Jefferson County, GA",Aug-24 p,0.055999999999999994,13-163
"Jenkins County, GA",Aug-24 p,0.055,13-165
"Johnson County, GA",Aug-24 p,0.040999999999999995,13-167
"Jones County, GA",Aug-24 p,0.042,13-169
"Lamar County, GA",Aug-24 p,0.048,13-171
"Lanier County, GA",Aug-24 p,0.054000000000000006,13-173
"Laurens County, GA",Aug-24 p,0.048,13-175
"Lee County, GA",Aug-24 p,0.036000000000000004,13-177
"Liberty County, GA",Aug-24 p,0.040999999999999995,13-179
"Lincoln County, GA",Aug-24 p,0.045,13-181
"Long County, GA",Aug-24 p,0.040999999999999995,13-183
"Lowndes County, GA",Aug-24 p,0.047,13-185
"Lumpkin County, GA",Aug-24 p,0.037000000000000005,13-187
"McDuffie County, GA",Aug-24 p,0.06,13-189
"McIntosh County, GA",Aug-24 p,0.042,13-191
"Macon County, GA",Aug-24 p,0.053,13-193
"Madison County, GA",Aug-24 p,0.039,13-195
"Marion County, GA",Aug-24 p,0.047,13-197
"Meriwether County, GA",Aug-24 p,0.046,13-199
"Miller County, GA",Aug-24 p,0.036000000000000004,13-201
"Mitchell County, GA",Aug-24 p,0.052000000000000005,13-205
"Monroe County, GA",Aug-24 p,0.04,13-207
"Montgomery County, GA",Aug-24 p,0.051,13-209
"Morgan County, GA",Aug-24 p,0.036000000000000004,13-211
"Murray County, GA",Aug-24 p,0.051,13-213
"Muscogee County, GA",Aug-24 p,0.052000000000000005,13-215
"Newton County, GA",Aug-24 p,0.05,13-217
"Oconee County, GA",Aug-24 p,0.033,13-219
